Type,SFN,Status,Start Time,End Time,Execution Time
DAILY,ODP_DAILY_COMPACTION_SCHEDULE_START,SUCCEEDED,"Aug 20, 2020, 04:50","Aug 20, 2020, 04:50","0 mins, 1 secs"
DAILY,MAPP_RS_AUDIT_START,SUCCEEDED,"Aug 20, 2020, 04:50","Aug 20, 2020, 04:51","1 mins, 3 secs"
DAILY,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Aug 20, 2020, 04:51","Aug 20, 2020, 05:16","24 mins, 50 secs"
DAILY,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Aug 20, 2020, 05:16","Aug 20, 2020, 07:17","2 hrs, 1 mins, 24 secs"
DAILY,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Aug 20, 2020, 07:17","Aug 20, 2020, 07:49","32 mins, 8 secs"
DAILY,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Aug 20, 2020, 07:50","Aug 20, 2020, 07:50","0 mins, 54 secs"
DAILY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 20, 2020, 07:50","Aug 20, 2020, 08:45","54 mins, 45 secs"
DAILY,MAPP_CDS_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Aug 20, 2020, 08:45","Aug 20, 2020, 09:15","30 mins, 8 secs"
DAILY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,SUCCEEDED,"Aug 20, 2020, 09:15","Aug 20, 2020, 09:45","30 mins, 5 secs"
DAILY,MAPP_SNAPSHOT_WRAPPER,FAILED,"Aug 20, 2020, 09:45","Aug 20, 2020, 10:51","1 hrs, 5 mins, 16 secs"
DAILY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
